"ID","Player","Team","Position","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros"
"*06y27*","Loum Tchaouna","BUR","F","FA","21","@TOT Sat 10:00AM","38","0","35","125.6","49%"
"*05tqz*","Rico Henry","BRF","D","FA","28","@NOT Sun 9:00AM","37","0","0","-","0%"
"*06kx1*","Justin Devenny","CRY","M","FA","21","@CHE Sun 9:00AM","35.25","0","0","-","2%"
"*06y59*","Noah Sadiki","SUN","M","FA","20","WHU Sat 10:00AM","35","0","2","1157","3%"
"*06dwm*","Jacob Bruun Larsen","BUR","F","FA","26","@TOT Sat 10:00AM","34.75","0","0","-","0%"
"*04sft*","Yves Bissouma","TOT","M","FA","28","BUR Sat 10:00AM","33","0","0","-","0%"
"*06ab3*","Lewis Miley","NEW","M","FA","19","@AVL Sat 7:30AM","33","0","0","-","5%"
"*067x8*","Nico OReilly","MCI","M","FA","20","@WOL Sat 12:30PM","33","0","51","146.9","52%"
"*03ysd*","Sam Byram","LEE","D","FA","31","EVE Mon 3:00PM","29.75","0","0","-","0%"
"*05tr1*","Ethan Pinnock","BRF","D","FA","32","@NOT Sun 9:00AM","29","0","19","201.7","20%"
"*04lnu*","Lukas Nmecha","LEE","F","FA","26","EVE Mon 3:00PM","28.25","0","36","152.3","32%"
"*06exb*","Rasmus Hojlund","MUN","F","FA","22","ARS Sun 11:30AM","27.75","0","2","1134.4","8%"
"*06fhy*","Wilson Odobert","TOT","F","FA","20","BUR Sat 10:00AM","27.75","0","27","158.9","35%"
"*05gcc*","Kiernan Dewsbury-Hall","CHE","M","FA","26","CRY Sun 9:00AM","25.25","0","0","-","2%"
"*061vb*","James Hill","BOU","D","FA","23","@LIV Fri 3:00PM","25","0","0","-","2%"
"*05n3v*","Konstantinos Tsimikas","LIV","D","Deekay","29","BOU Fri 3:00PM","24.5","0","0","-","0%"
"*06cm0*","Christopher Nkunku","CHE","F","FA","27","CRY Sun 9:00AM","24","0","24","197.4","15%"
"*066j4*","Mateo Joseph","LEE","F","FA","21","EVE Mon 3:00PM","23.5","0","0","-","0%"
"*06v6n*","Quilindschy Hartman","BUR","D","FA","23","@TOT Sat 10:00AM","23.25","0","2","1149.2","2%"
"*062x7*","Rico Lewis","MCI","D","FA","20","@WOL Sat 12:30PM","22.5","0","2","1225.4","10%"
"*05yct*","Nathan Patterson","EVE","D","FA","23","@LEE Mon 3:00PM","22.5","0","2","1223.4","2%"
"*06y26*","Olivier Boscagli","BHA","D","FA","27","FUL Sat 10:00AM","21.25","0","2","1166","3%"
